timestamp,x,y
1734925916.57516,0,0
1734925916.8803358,0,0
1734925917.57884,0,0
1734925917.881869,0,0
1734925918.67887,0,0
1734925918.903807,0,0
1734925919.679879,0,0
1734925919.9062479,0,0
1734925920.685291,0,0
1734925920.91057,0,0
1734925921.6867242,0,0
1734925921.913213,0,0
1734925922.69172,0,0
1734925922.9153311,0,0
1734925923.695334,0,0
1734925923.9193769,0,0
1734925924.6966279,0,0
1734925924.924703,0,0
1734925925.697911,0,0
1734925925.9288309,0,0
1734925926.701951,0,0
1734925926.932129,0,0
1734925927.704315,0,0
1734925927.9345112,0,0
1734925928.707977,0,0
1734925928.9395041,0,0
1734925929.712744,0,0
1734925929.944695,0,0
1734925930.718327,0,0
1734925930.946075,0,0
1734925931.7213671,0,0
1734925931.949624,0,0
1734925932.7244868,0,0
1734925932.957068,0,0
1734925933.7270699,0,0
1734925933.961355,0,0
1734925934.730588,0,0
1734925934.9625201,0,0
1734925935.735147,0,0
1734925935.965081,0,0
1734925936.739439,0,0
1734925936.969663,0,0
1734925937.742107,0,0
1734925937.972631,0,0
1734925938.745947,0,0
1734925938.976162,0,0
1734925939.746473,0,0
1734925939.9788532,0,0
1734925940.752078,0,0
1734925940.982389,0,0
1734925941.75498,0,0
1734925941.987764,0,0
1734925942.756056,0,0
1734925942.997134,0,0
1734925943.757567,0,0
1734925943.999424,0,0
1734925944.763034,0,0
1734925945.0735419,0,0
1734925945.765483,0,0
1734925946.075553,0,0
1734925946.7699862,0,0
1734925947.081068,0,0
1734925947.7737448,0,0
